ID,GROUP,COUNTY,n_child
1,C,2,4
2,C,2,1
3,C,1,1
4,C,2,1
5,C,2,1
6,T,3,2
7,C,2,2
8,T,3,2
9,C,1,3
10,C,3,1
11,C,1,5
12,C,1,6
13,C,1,2
14,C,1,2
15,C,2,2
16,T,3,6
17,C,2,1
18,T,1,1
19,C,3,6
20,T,1,1
21,C,1,4
22,T,2,2
23,C,3,3
24,T,2,2
25,C,1,3
26,T,1,1
27,C,1,2
28,T,3,1
29,C,2,1
30,C,2,3
31,C,1,1
32,C,1,1
33,C,3,1
34,C,2,3
35,T,3,6
36,C,3,1
37,C,1,2
38,T,2,2
39,T,3,3
40,T,2,2
41,C,3,6
42,T,2,1
43,T,1,2
44,T,1,3
45,C,2,1
46,C,3,1
47,C,3,2
48,C,1,6
49,C,2,2
50,T,1,1
51,C,2,1
52,T,2,2
53,T,3,1
54,T,2,4
55,C,1,1
56,T,1,1
57,C,1,2
58,T,2,2
59,C,3,2
60,T,2,1
61,T,3,2
62,T,2,4
63,C,2,2
64,C,1,1
65,C,1,6
66,C,1,1
67,C,3,1
68,T,2,1
69,C,2,5
70,C,2,1
71,C,2,1
72,C,2,6
73,C,2,1
74,C,2,3
75,T,2,5
76,T,3,2
77,C,1,3
78,C,2,4
79,C,3,2
80,C,1,2
81,C,2,3
82,T,3,2
83,C,3,2
84,C,2,3
85,C,3,4
86,C,2,4
87,C,1,3
88,C,2,4
89,C,1,5
90,C,3,3
91,T,2,6
92,C,1,3
93,C,2,4
94,C,3,2
95,C,3,1
96,C,3,2
97,C,3,1
98,C,2,3
99,T,3,1
100,C,3,4
101,T,3,4
102,T,2,1
103,C,1,1
104,C,1,2
105,T,2,4
106,C,2,1
107,C,3,2
108,C,1,1
109,C,3,2
110,T,1,1
111,C,2,5
112,C,3,1
113,T,2,1
114,T,1,1
115,C,1,1
116,T,1,1
117,T,2,2
118,C,1,6
119,T,1,2
120,T,3,6
121,C,2,1
122,T,1,3
123,C,1,1
124,C,3,1
125,C,3,3
126,T,1,5
127,C,3,3
128,T,3,1
129,C,3,1
130,C,1,3
131,T,1,1
132,T,2,1
133,C,2,3
134,T,2,1
135,T,1,2
136,T,1,2
137,C,3,6
138,T,3,1
139,C,1,1
140,T,1,2
141,C,3,2
142,C,3,3
143,C,1,2
144,C,3,4
145,T,2,6
146,C,3,2
147,C,1,3
148,C,3,3
149,C,1,2
150,C,2,5
151,C,1,2
152,C,1,3
153,C,1,1
154,T,3,5
155,C,3,1
156,C,2,2
157,C,1,1
158,T,3,2
159,C,2,2
160,C,1,2
161,T,3,3
162,C,1,1
163,C,3,3
164,C,2,2
165,C,2,2
166,C,1,6
167,C,2,2
168,C,2,2
169,T,2,1
170,C,2,1
171,C,3,3
172,T,3,1
173,T,1,1
174,C,3,1
175,C,3,6
176,T,1,6
177,C,3,2
178,C,3,3
179,C,1,3
180,C,3,3
181,T,3,1
182,C,2,2
183,C,1,1
184,C,1,2
185,T,2,1
186,C,2,2
187,C,2,1
188,T,3,1
189,C,1,3
190,C,3,1
191,T,2,2
192,T,2,1
193,C,3,1
194,C,3,2
195,T,2,1
196,T,3,1
197,T,3,3
198,C,2,2
199,C,3,3
200,C,1,1
201,T,2,3
202,C,3,5
203,T,3,3
204,T,1,1
205,T,2,2
206,C,2,1
207,C,3,3
208,C,3,2
209,C,1,3
210,C,2,1
211,T,1,1
212,C,2,1
213,C,1,1
214,T,3,4
215,T,1,3
216,T,3,1
217,C,2,4
218,T,3,1
219,C,3,3
220,C,3,2
221,C,2,4
222,C,1,2
223,C,2,1
224,C,1,2
225,T,1,3
226,C,3,5
227,T,1,1
228,T,2,3
229,T,3,3
230,T,1,2
231,T,1,1
232,C,1,1
233,T,1,1
234,T,3,1
235,C,3,3
236,C,1,4
237,C,3,2
238,C,2,3
239,T,2,1
240,C,2,1
241,C,2,1
242,T,2,2
243,C,1,1
244,C,3,1
245,C,2,3
246,T,3,1
247,C,3,3
248,C,2,1
249,C,3,2
250,C,3,1
251,T,3,2
252,T,3,1
253,T,1,2
254,T,1,4
255,T,3,3
256,C,2,1
257,T,2,3
258,C,1,3
259,C,1,3
260,C,3,1
261,T,1,6
262,T,3,1
263,T,1,1
264,T,1,2
265,C,1,2
266,C,3,3
267,T,1,3
268,C,3,1
269,C,3,1
270,C,3,6
271,T,2,3
272,C,2,1
273,T,1,3
274,T,2,3
275,C,2,3
276,C,2,3
277,C,1,1
278,T,2,1
279,T,1,2
280,C,3,3
281,C,2,1
282,C,3,2
283,C,1,4
284,C,2,1
285,C,1,1
286,T,2,2
287,C,2,6
288,T,3,2
289,C,1,4
290,C,2,1
291,C,1,6
292,C,3,5
293,T,3,3
294,C,1,3
295,T,3,1
296,C,1,2
297,C,1,2
298,T,1,3
299,C,1,2
300,C,3,2
301,C,2,1
302,C,3,1
303,C,2,2
304,C,1,1
305,C,3,1
306,C,1,3
307,T,1,4
308,C,1,2
309,C,2,2
310,T,2,1
311,C,2,6
312,C,2,2
313,T,2,1
314,T,2,2
315,C,2,2
316,C,1,1
317,C,3,1
318,C,3,1
319,C,3,2
320,C,2,5
321,T,1,1
322,C,3,3
323,T,3,3
324,T,1,1
325,C,2,2
326,C,1,1
327,C,3,1
328,T,2,2
329,T,3,2
330,C,2,2
331,C,2,1
332,C,3,1
333,T,3,3
334,C,1,1
335,C,1,4
336,C,1,2
337,C,2,6
338,C,2,1
339,C,1,1
340,C,2,6
341,T,3,1
342,C,3,2
343,C,2,1
344,C,2,2
345,C,2,1
346,T,1,4
347,T,1,5
348,C,3,6
349,C,3,4
350,C,1,4
351,C,2,6
352,C,2,1
353,C,1,6
354,C,3,3
355,T,3,4
356,C,1,4
357,C,2,1
358,T,1,2
359,T,3,2
360,C,2,1
361,T,3,1
362,T,1,1
363,C,2,5
364,C,1,2
365,T,3,1
366,T,2,1
367,C,2,6
368,C,2,3
369,C,2,2
370,T,1,2
371,T,3,3
372,T,2,2
373,C,1,6
374,C,3,2
375,C,1,5
376,C,3,3
377,C,1,4
378,C,2,1
379,C,2,1
380,T,1,2
381,T,3,3
382,T,3,1
383,C,2,1
384,C,2,1
385,T,2,5
386,C,1,6
387,T,1,1
388,T,2,4
389,T,2,2
390,T,2,2
391,C,2,2
392,C,3,1
393,C,3,5
394,T,1,3
395,C,1,1
396,T,2,1
397,C,1,1
398,C,2,2
399,T,1,1
400,T,3,1
401,C,3,1
402,C,1,1
403,C,3,6
404,T,2,6
405,C,1,3
406,C,1,1
407,C,1,3
408,T,1,1
409,T,2,1
410,T,2,1
411,C,3,2
412,T,1,2
413,T,3,3
414,C,3,2
415,T,2,5
416,C,3,3
